organism,mol_type,strain,serotype,db_xref,accession,country,host,segment,collection_date,isolation_source,isolate,note,lab_host,lat_lon,collection_year,collection_month,collection_day,flu_season
Influenza A virus,viral cRNA,A/Ontario/026/2018,H3N2,taxon:11320,MG889769.1,Canada: Ontario,Homo sapiens,4,2018-01-11,nasopharyngeal swab,026,original specimen,,,2018.0,1.0,11.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/034/2018,H3N2,taxon:11320,MG889777.1,Canada: Ontario,Homo sapiens,4,2018-01-11,nasopharyngeal swab,034,original specimen,,,2018.0,1.0,11.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/033/2018,H3N2,taxon:11320,MG889776.1,Canada: Ontario,Homo sapiens,4,2018-01-11,nasopharyngeal swab,033,original specimen,,,2018.0,1.0,11.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/038/2018,H3N2,taxon:11320,MG889779.1,Canada: Ontario,Homo sapiens,4,2018-01-10,nasopharyngeal swab,038,original specimen,,,2018.0,1.0,10.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/029/2018,H3N2,taxon:11320,MG889772.1,Canada: Ontario,Homo sapiens,4,2018-01-10,nasopharyngeal swab,029,original specimen,,,2018.0,1.0,10.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/027/2018,H3N2,taxon:11320,MG889770.1,Canada: Ontario,Homo sapiens,4,2018-01-10,nasopharyngeal swab,027,original specimen,,,2018.0,1.0,10.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/036/2018,H3N2,taxon:11320,MG889778.1,Canada: Ontario,Homo sapiens,4,2018-01-09,nasopharyngeal swab,036,original specimen,,,2018.0,1.0,9.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/028/2018,H3N2,taxon:11320,MG889771.1,Canada: Ontario,Homo sapiens,4,2018-01-09,nasopharyngeal swab,028,original specimen,,,2018.0,1.0,9.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/024/2018,H3N2,taxon:11320,MG889767.1,Canada: Ontario,Homo sapiens,4,2018-01-09,nasopharyngeal swab,024,original specimen,,,2018.0,1.0,9.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/032/2018,H3N2,taxon:11320,MG889775.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,032,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/031/2018,H3N2,taxon:11320,MG889774.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,031,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/030/2018,H3N2,taxon:11320,MG889773.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,030,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/025/2018,H3N2,taxon:11320,MG889768.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,025,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/023/2018,H3N2,taxon:11320,MG889766.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,023,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/021/2018,H3N2,taxon:11320,MG889764.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,021,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/020/2018,H3N2,taxon:11320,MG889763.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,020,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/019/2018,H3N2,taxon:11320,MG889762.1,Canada: Ontario,Homo sapiens,4,2018-01-08,nasopharyngeal swab,019,original specimen,,,2018.0,1.0,8.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/022/2018,H3N2,taxon:11320,MG889765.1,Canada: Ontario,Homo sapiens,4,2018-01-07,nasopharyngeal swab,022,original specimen,,,2018.0,1.0,7.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/006/2018,H3N2,taxon:11320,MG889754.1,Canada: Ontario,Homo sapiens,4,2018-01-05,nasopharyngeal swab,006,original specimen,,,2018.0,1.0,5.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/016/2018,H3N2,taxon:11320,MG889761.1,Canada: Ontario,Homo sapiens,4,2018-01-04,nasopharyngeal swab,016,original specimen,,,2018.0,1.0,4.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/003/2018,H3N2,taxon:11320,MG889751.1,Canada: Ontario,Homo sapiens,4,2018-01-03,nasopharyngeal swab,003,original specimen,,,2018.0,1.0,3.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/013/2018,H3N2,taxon:11320,MG889760.1,Canada: Ontario,Homo sapiens,4,2018-01-03,nasopharyngeal swab,013,original specimen,,,2018.0,1.0,3.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/005/2018,H3N2,taxon:11320,MG889753.1,Canada: Ontario,Homo sapiens,4,2018-01-03,nasopharyngeal swab,005,original specimen,,,2018.0,1.0,3.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/002/2018,H3N2,taxon:11320,MG889750.1,Canada: Ontario,Homo sapiens,4,2018-01-03,nasopharyngeal swab,002,original specimen,,,2018.0,1.0,3.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/004/2018,H3N2,taxon:11320,MG889752.1,Canada: Ontario,Homo sapiens,4,2018-01-03,nasopharyngeal swab,004,original specimen,,,2018.0,1.0,3.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/007/2018,H3N2,taxon:11320,MG889755.1,Canada: Ontario,Homo sapiens,4,2018-01-02,nasopharyngeal swab,007,original specimen,,,2018.0,1.0,2.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/008/2018,H3N2,taxon:11320,MG889756.1,Canada: Ontario,Homo sapiens,4,2018-01-02,nasopharyngeal swab,008,original specimen,,,2018.0,1.0,2.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/010/2018,H3N2,taxon:11320,MG889757.1,Canada: Ontario,Homo sapiens,4,2018-01-02,nasopharyngeal swab,010,original specimen,,,2018.0,1.0,2.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/011/2018,H3N2,taxon:11320,MG889758.1,Canada: Ontario,Homo sapiens,4,2018-01-02,nasopharyngeal swab,011,original specimen,,,2018.0,1.0,2.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/012/2018,H3N2,taxon:11320,MG889759.1,Canada: Ontario,Homo sapiens,4,2018-01-02,nasopharyngeal swab,012,original specimen,,,2018.0,1.0,2.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/001/2018,H3N2,taxon:11320,MG889749.1,Canada: Ontario,Homo sapiens,4,2018-01-02,nasopharyngeal swab,001,original specimen,,,2018.0,1.0,2.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/323/2017,H3N2,taxon:11320,MG889798.1,Canada: Ontario,Homo sapiens,4,2017-12-29,nasopharyngeal swab,323,original specimen,,,2017.0,12.0,29.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/310/2017,H3N2,taxon:11320,MG889788.1,Canada: Ontario,Homo sapiens,4,2017-12-27,nasopharyngeal swab,310,original specimen,,,2017.0,12.0,27.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/308/2017,H3N2,taxon:11320,MG889786.1,Canada: Ontario,Homo sapiens,4,2017-12-27,nasopharyngeal swab,308,original specimen,,,2017.0,12.0,27.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/311/2017,H3N2,taxon:11320,MG889789.1,Canada: Ontario,Homo sapiens,4,2017-12-27,nasopharyngeal swab,311,original specimen,,,2017.0,12.0,27.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/312/2017,H3N2,taxon:11320,MG889790.1,Canada: Ontario,Homo sapiens,4,2017-12-27,nasopharyngeal swab,312,original specimen,,,2017.0,12.0,27.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/314/2017,H3N2,taxon:11320,MG889792.1,Canada: Ontario,Homo sapiens,4,2017-12-27,nasopharyngeal swab,314,original specimen,,,2017.0,12.0,27.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/309/2017,H3N2,taxon:11320,MG889787.1,Canada: Ontario,Homo sapiens,4,2017-12-26,nasopharyngeal swab,309,original specimen,,,2017.0,12.0,26.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/318/2017,H3N2,taxon:11320,MG889796.1,Canada: Ontario,Homo sapiens,4,2017-12-26,nasopharyngeal swab,318,original specimen,,,2017.0,12.0,26.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/320/2017,H3N2,taxon:11320,MG889797.1,Canada: Ontario,Homo sapiens,4,2017-12-22,nasopharyngeal swab,320,original specimen,,,2017.0,12.0,22.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/306/2017,H3N2,taxon:11320,MG889784.1,Canada: Ontario,Homo sapiens,4,2017-12-22,nasopharyngeal swab,306,original specimen,,,2017.0,12.0,22.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/307/2017,H3N2,taxon:11320,MG889785.1,Canada: Ontario,Homo sapiens,4,2017-12-21,nasopharyngeal swab,307,original specimen,,,2017.0,12.0,21.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/316/2017,H3N2,taxon:11320,MG889794.1,Canada: Ontario,Homo sapiens,4,2017-12-20,nasopharyngeal swab,316,original specimen,,,2017.0,12.0,20.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/305/2017,H3N2,taxon:11320,MG889783.1,Canada: Ontario,Homo sapiens,4,2017-12-19,nasopharyngeal swab,305,original specimen,,,2017.0,12.0,19.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/313/2017,H3N2,taxon:11320,MG889791.1,Canada: Ontario,Homo sapiens,4,2017-12-18,nasopharyngeal swab,313,original specimen,,,2017.0,12.0,18.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/317/2017,H3N2,taxon:11320,MG889795.1,Canada: Ontario,Homo sapiens,4,2017-12-18,nasopharyngeal swab,317,original specimen,,,2017.0,12.0,18.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/302/2017,H3N2,taxon:11320,MG889780.1,Canada: Ontario,Homo sapiens,4,2017-12-17,nasopharyngeal swab,302,original specimen,,,2017.0,12.0,17.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/315/2017,H3N2,taxon:11320,MG889793.1,Canada: Ontario,Homo sapiens,4,2017-12-14,nasopharyngeal swab,315,original specimen,,,2017.0,12.0,14.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/304/2017,H3N2,taxon:11320,MG889782.1,Canada: Ontario,Homo sapiens,4,2017-12-14,nasopharyngeal swab,304,original specimen,,,2017.0,12.0,14.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/303/2017,H3N2,taxon:11320,MG889781.1,Canada: Ontario,Homo sapiens,4,2017-12-07,nasopharyngeal swab,303,original specimen,,,2017.0,12.0,7.0,2017-2018
Influenza A virus,viral cRNA,A/Ontario/148/2017,H1N1,taxon:11320,MH216446.1,Canada: Ontario,Homo sapiens,4,2017-03-28,nasopharyngeal swab,148,original specimen,,,2017.0,3.0,28.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/144/2017,H3N2,taxon:11320,MH216444.1,Canada: Ontario,Homo sapiens,4,2017-03-21,nasopharyngeal swab,144,original specimen,,,2017.0,3.0,21.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/143/2017,H3N2,taxon:11320,MH216443.1,Canada: Ontario,Homo sapiens,4,2017-03-20,nasopharyngeal swab,143,original specimen,,,2017.0,3.0,20.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/142/2017,H3N2,taxon:11320,MH216442.1,Canada: Ontario,Homo sapiens,4,2017-03-19,nasopharyngeal swab,142,original specimen,,,2017.0,3.0,19.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/139/2017,H3N2,taxon:11320,MH216440.1,Canada: Ontario,Homo sapiens,4,2017-03-11,nasopharyngeal swab,139,original specimen,,,2017.0,3.0,11.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/138/2017,H3N2,taxon:11320,MH216439.1,Canada: Ontario,Homo sapiens,4,2017-03-10,nasopharyngeal swab,138,original specimen,,,2017.0,3.0,10.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/140/2017,H3N2,taxon:11320,MH216441.1,Canada: Ontario,Homo sapiens,4,2017-03-10,nasopharyngeal swab,140,original specimen,,,2017.0,3.0,10.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/134/2017,H3N2,taxon:11320,MH216435.1,Canada: Ontario,Homo sapiens,4,2017-03-09,nasopharyngeal swab,134,original specimen,,,2017.0,3.0,9.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/133/2017,H3N2,taxon:11320,MH216434.1,Canada: Ontario,Homo sapiens,4,2017-03-08,nasopharyngeal swab,133,original specimen,,,2017.0,3.0,8.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/136/2017,H3N2,taxon:11320,MH216437.1,Canada: Ontario,Homo sapiens,4,2017-03-08,nasopharyngeal swab,136,original specimen,,,2017.0,3.0,8.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/135/2017,H3N2,taxon:11320,MH216436.1,Canada: Ontario,Homo sapiens,4,2017-03-07,nasopharyngeal swab,135,original specimen,,,2017.0,3.0,7.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/137/2017,H3N2,taxon:11320,MH216438.1,Canada: Ontario,Homo sapiens,4,2017-03-07,nasopharyngeal swab,137,original specimen,,,2017.0,3.0,7.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/130/2017,H3N2,taxon:11320,MH216432.1,Canada: Ontario,Homo sapiens,4,2017-03-06,nasopharyngeal swab,130,original specimen,,,2017.0,3.0,6.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/129/2017,H3N2,taxon:11320,MH216431.1,Canada: Ontario,Homo sapiens,4,2017-03-06,nasopharyngeal swab,129,original specimen,,,2017.0,3.0,6.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/127/2017,H3N2,taxon:11320,MH216429.1,Canada: Ontario,Homo sapiens,4,2017-03-03,nasopharyngeal swab,127,original specimen,,,2017.0,3.0,3.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/128/2017,H3N2,taxon:11320,MH216430.1,Canada: Ontario,Homo sapiens,4,2017-03-02,nasopharyngeal swab,128,original specimen,,,2017.0,3.0,2.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/132/2017,H3N2,taxon:11320,MH216433.1,Canada: Ontario,Homo sapiens,4,2017-03-01,nasopharyngeal swab,132,original specimen,,,2017.0,3.0,1.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/126/2017,H3N2,taxon:11320,MH216428.1,Canada: Ontario,Homo sapiens,4,2017-03-01,nasopharyngeal swab,126,original specimen,,,2017.0,3.0,1.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/125/2017,H3N2,taxon:11320,MH216427.1,Canada: Ontario,Homo sapiens,4,2017-03-01,nasopharyngeal swab,125,original specimen,,,2017.0,3.0,1.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/122/2017,H3N2,taxon:11320,MH216424.1,Canada: Ontario,Homo sapiens,4,2017-03-01,nasopharyngeal swab,122,original specimen,,,2017.0,3.0,1.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/120/2017,H3N2,taxon:11320,MH216422.1,Canada: Ontario,Homo sapiens,4,2017-02-28,nasopharyngeal swab,120,original specimen,,,2017.0,2.0,28.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/119/2017,H3N2,taxon:11320,MH216421.1,Canada: Ontario,Homo sapiens,4,2017-02-28,nasopharyngeal swab,119,original specimen,,,2017.0,2.0,28.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/121/2017,H3N2,taxon:11320,MH216423.1,Canada: Ontario,Homo sapiens,4,2017-02-28,nasopharyngeal swab,121,original specimen,,,2017.0,2.0,28.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/124/2017,H3N2,taxon:11320,MH216426.1,Canada: Ontario,Homo sapiens,4,2017-02-28,nasopharyngeal swab,124,original specimen,,,2017.0,2.0,28.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/123/2017,H3N2,taxon:11320,MH216425.1,Canada: Ontario,Homo sapiens,4,2017-02-28,nasopharyngeal swab,123,original specimen,,,2017.0,2.0,28.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/115/2017,H3N2,taxon:11320,MH216417.1,Canada: Ontario,Homo sapiens,4,2017-02-26,nasopharyngeal swab,115,original specimen,,,2017.0,2.0,26.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/117/2017,H3N2,taxon:11320,MH216419.1,Canada: Ontario,Homo sapiens,4,2017-02-26,nasopharyngeal swab,117,original specimen,,,2017.0,2.0,26.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/118/2017,H3N2,taxon:11320,MH216420.1,Canada: Ontario,Homo sapiens,4,2017-02-24,nasopharyngeal swab,118,original specimen,,,2017.0,2.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/111/2017,H3N2,taxon:11320,MH216413.1,Canada: Ontario,Homo sapiens,4,2017-02-24,nasopharyngeal swab,111,original specimen,,,2017.0,2.0,24.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/114/2017,H3N2,taxon:11320,MH216416.1,Canada: Ontario,Homo sapiens,4,2017-02-23,nasopharyngeal swab,114,original specimen,,,2017.0,2.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/112/2017,H3N2,taxon:11320,MH216414.1,Canada: Ontario,Homo sapiens,4,2017-02-23,nasopharyngeal swab,112,original specimen,,,2017.0,2.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/113/2017,H3N2,taxon:11320,MH216415.1,Canada: Ontario,Homo sapiens,4,2017-02-23,nasopharyngeal swab,113,original specimen,,,2017.0,2.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/106/2017,H3N2,taxon:11320,MH216408.1,Canada: Ontario,Homo sapiens,4,2017-02-23,nasopharyngeal swab,106,original specimen,,,2017.0,2.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/109/2017,H3N2,taxon:11320,MH216411.1,Canada: Ontario,Homo sapiens,4,2017-02-23,nasopharyngeal swab,109,original specimen,,,2017.0,2.0,23.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/107/2017,H3N2,taxon:11320,MH216409.1,Canada: Ontario,Homo sapiens,4,2017-02-22,nasopharyngeal swab,107,original specimen,,,2017.0,2.0,22.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/108/2017,H3N2,taxon:11320,MH216410.1,Canada: Ontario,Homo sapiens,4,2017-02-22,nasopharyngeal swab,108,original specimen,,,2017.0,2.0,22.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/105/2017,H3N2,taxon:11320,MH216407.1,Canada: Ontario,Homo sapiens,4,2017-02-22,nasopharyngeal swab,105,original specimen,,,2017.0,2.0,22.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/116/2017,H3N2,taxon:11320,MH216418.1,Canada: Ontario,Homo sapiens,4,2017-02-21,nasopharyngeal swab,116,original specimen,,,2017.0,2.0,21.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/103/2017,H3N2,taxon:11320,MH216405.1,Canada: Ontario,Homo sapiens,4,2017-02-21,nasopharyngeal swab,103,original specimen,,,2017.0,2.0,21.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/110/2017,H3N2,taxon:11320,MH216412.1,Canada: Ontario,Homo sapiens,4,2017-02-20,nasopharyngeal swab,110,original specimen,,,2017.0,2.0,20.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/101/2017,H3N2,taxon:11320,MH216403.1,Canada: Ontario,Homo sapiens,4,2017-02-17,nasopharyngeal swab,101,original specimen,,,2017.0,2.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/102/2017,H3N2,taxon:11320,MH216404.1,Canada: Ontario,Homo sapiens,4,2017-02-17,nasopharyngeal swab,102,original specimen,,,2017.0,2.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/104/2017,H3N2,taxon:11320,MH216406.1,Canada: Ontario,Homo sapiens,4,2017-02-17,nasopharyngeal swab,104,original specimen,,,2017.0,2.0,17.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/100/2017,H3N2,taxon:11320,MH216402.1,Canada: Ontario,Homo sapiens,4,2017-02-15,nasopharyngeal swab,100,original specimen,,,2017.0,2.0,15.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/099/2017,H3N2,taxon:11320,MH216401.1,Canada: Ontario,Homo sapiens,4,2017-02-15,nasopharyngeal swab,099,original specimen,,,2017.0,2.0,15.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/098/2017,H3N2,taxon:11320,MH216400.1,Canada: Ontario,Homo sapiens,4,2017-02-15,nasopharyngeal swab,098,original specimen,,,2017.0,2.0,15.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/096/2017,H3N2,taxon:11320,MH216398.1,Canada: Ontario,Homo sapiens,4,2017-02-15,nasopharyngeal swab,096,original specimen,,,2017.0,2.0,15.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/097/2017,H3N2,taxon:11320,MH216399.1,Canada: Ontario,Homo sapiens,4,2017-02-13,nasopharyngeal swab,097,original specimen,,,2017.0,2.0,13.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/095/2017,H3N2,taxon:11320,MH216397.1,Canada: Ontario,Homo sapiens,4,2017-02-13,nasopharyngeal swab,095,original specimen,,,2017.0,2.0,13.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/094/2017,H3N2,taxon:11320,MH216396.1,Canada: Ontario,Homo sapiens,4,2017-02-13,nasopharyngeal swab,094,original specimen,,,2017.0,2.0,13.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/093/2017,H3N2,taxon:11320,MH216395.1,Canada: Ontario,Homo sapiens,4,2017-02-10,nasopharyngeal swab,093,original specimen,,,2017.0,2.0,10.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/092/2017,H3N2,taxon:11320,MH216394.1,Canada: Ontario,Homo sapiens,4,2017-02-08,nasopharyngeal swab,092,original specimen,,,2017.0,2.0,8.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/091/2017,H3N2,taxon:11320,MH216393.1,Canada: Ontario,Homo sapiens,4,2017-02-08,nasopharyngeal swab,091,original specimen,,,2017.0,2.0,8.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/089/2017,H3N2,taxon:11320,MH216391.1,Canada: Ontario,Homo sapiens,4,2017-02-08,nasopharyngeal swab,089,original specimen,,,2017.0,2.0,8.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/090/2017,H3N2,taxon:11320,MH216392.1,Canada: Ontario,Homo sapiens,4,2017-02-07,nasopharyngeal swab,090,original specimen,,,2017.0,2.0,7.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/087/2017,H3N2,taxon:11320,MH216389.1,Canada: Ontario,Homo sapiens,4,2017-02-06,nasopharyngeal swab,087,original specimen,,,2017.0,2.0,6.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/086/2017,H3N2,taxon:11320,MH216388.1,Canada: Ontario,Homo sapiens,4,2017-02-04,nasopharyngeal swab,086,original specimen,,,2017.0,2.0,4.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/084/2017,H3N2,taxon:11320,MH216386.1,Canada: Ontario,Homo sapiens,4,2017-02-04,nasopharyngeal swab,084,original specimen,,,2017.0,2.0,4.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/088/2017,H3N2,taxon:11320,MH216390.1,Canada: Ontario,Homo sapiens,4,2017-02-03,nasopharyngeal swab,088,original specimen,,,2017.0,2.0,3.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/083/2017,H3N2,taxon:11320,MH216385.1,Canada: Ontario,Homo sapiens,4,2017-02-03,nasopharyngeal swab,083,original specimen,,,2017.0,2.0,3.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/085/2017,H3N2,taxon:11320,MH216387.1,Canada: Ontario,Homo sapiens,4,2017-02-02,nasopharyngeal swab,085,original specimen,,,2017.0,2.0,2.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/082/2017,H3N2,taxon:11320,MH216384.1,Canada: Ontario,Homo sapiens,4,2017-02-01,nasopharyngeal swab,082,original specimen,,,2017.0,2.0,1.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/081/2017,H3N2,taxon:11320,MH216383.1,Canada: Ontario,Homo sapiens,4,2017-02-01,nasopharyngeal swab,081,original specimen,,,2017.0,2.0,1.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/079/2017,H3N2,taxon:11320,MH216381.1,Canada: Ontario,Homo sapiens,4,2017-01-31,nasopharyngeal swab,079,original specimen,,,2017.0,1.0,31.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/078/2017,H3N2,taxon:11320,MH216380.1,Canada: Ontario,Homo sapiens,4,2017-01-31,nasopharyngeal swab,078,original specimen,,,2017.0,1.0,31.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/071/2017,H3N2,taxon:11320,MH216373.1,Canada: Ontario,Homo sapiens,4,2017-01-31,nasopharyngeal swab,071,original specimen,,,2017.0,1.0,31.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/076/2017,H3N2,taxon:11320,MH216378.1,Canada: Ontario,Homo sapiens,4,2017-01-30,nasopharyngeal swab,076,original specimen,,,2017.0,1.0,30.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/075/2017,H3N2,taxon:11320,MH216377.1,Canada: Ontario,Homo sapiens,4,2017-01-30,nasopharyngeal swab,075,original specimen,,,2017.0,1.0,30.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/069/2017,H3N2,taxon:11320,MH216371.1,Canada: Ontario,Homo sapiens,4,2017-01-30,nasopharyngeal swab,069,original specimen,,,2017.0,1.0,30.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/073/2017,H3N2,taxon:11320,MH216375.1,Canada: Ontario,Homo sapiens,4,2017-01-30,nasopharyngeal swab,073,original specimen,,,2017.0,1.0,30.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/077/2017,H3N2,taxon:11320,MH216379.1,Canada: Ontario,Homo sapiens,4,2017-01-30,nasopharyngeal swab,077,original specimen,,,2017.0,1.0,30.0,2016-2017
Influenza A virus,viral cRNA,A/Ontario/068/2017,H3N2,taxon:11320,MH216370.1,Canada: Ontario,Homo sapiens,4,2017-01-27,nasopharyngeal swab,068,original specimen,,,2017.0,1.0,27.0,2016-2017
